### 2023 40
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|CL|AVH (A & E)|Dog Bite
Total|17601|6114|5274|2550|1425|769|711|351|199|191

### 2023 48
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|CL|Dog Bite|Measles
Abbottabad|399|31|2|17|20|1|10|2|0|0
Bajaur|150|25|36|30|10|11|0|0|0|1
Bannu|627|16|1035|20|2|11|54|0|3|6
Battagram|136|448|71|0|1|0|0|0|0|3
Buner|164|0|143|75|0|0|1|0|11|3
Charsadda|940|439|472|105|150|14|19|34|61|2
Chitral Lower|228|100|3|25|35|8|5|9|0|4
Chitral Upper|85|9|2|17|7|5|30|1|1|0
D.I. Khan|774|15|390|21|53|25|0|1|3|37
Dir Lower|897|12|442|325|0|56|28|15|5|17
Dir Upper|265|254|7|20|1|10|23|5|0|1
Hangu|175|212|312|7|9|6|20|29|0|11
Haripur|812|814|20|391|9|10|44|0|0|0
Karak|181|25|146|8|0|0|10|13|50|25
Khyber|76|47|92|7|8|20|2|17|0|0
Kohat|45|2|16|1|0|0|0|1|1|0
Kohistan Lower|95|0|8|4|0|7|0|0|0|0
Kohistan Upper|269|30|4|6|10|5|25|0|1|1
Kolai Palas|33|0|2|4|0|3|0|0|0|0
L & C Kurram|15|169|1|0|0|2|0|0|0|0
Lakki Marwat|340|0|275|76|0|16|20|15|7|2
Malakand|489|0|9|64|7|41|13|12|0|17
Mansehra|453|549|8|132|74|13|2|0|0|2
Mardan|773|75|32|931|3|30|0|8|0|1
Mohmand|150|84|105|9|17|30|15|30|3|1
Nowshera|1148|0|36|4|1|19|4|2|0|1
Peshawar|2805|1466|79|221|315|149|85|24|3|36
SD DI Khan|0|0|0|0|0|0|0|0|0|0
SD Peshawar|0|80|3|0|0|2|0|0|0|0
SD Tank|0|0|1|0|0|0|0|0|0|0
Shangla|235|75|96|6|29|0|14|0|7|6
SWA|49|428|69|129|33|39|27|34|6|4
Swabi|661|506|15|195|118|4|19|0|1|1
Swat|1554|71|14|89|0|11|0|0|35|11
Tank|318|0|220|0|0|6|29|0|0|7
Tor Ghar|34|0|59|6|16|14|20|4|20|0
Upper Kurram|138|459|4|17|315|118|8|0|10|10
Total|15513|6441|4229|2962|1243|686|527|256|228|210

### 2023 49
Districts|AD (Non-Cholera)|ILI|Malaria|ALRI <5 Years|SARI|Typhoid|B. Diarrhea|CL|Measles|Dog Bite
Abbottabad|381|38|2|22|22|8|0|0|1|2
Bajaur|225|46|84|8|113|0|9|0|5|0
Bannu|638|40|1074|29|2|62|7|0|5|4
Battagram|126|459|55|0|0|0|0|0|2|0
Buner|273|0|194|68|0|7|1|0|0|13
Charsadda|888|511|380|155|124|38|27|1|5|0
Chitral Lower|178|131|4|39|53|7|6|3|2|5
Chitral Upper|86|8|3|19|8|27|6|0|0|1
D.I. Khan|828|13|397|25|41|0|29|0|35|7
Dir Lower|832|1|640|422|4|28|77|9|21|11
Dir Upper|251|361|6|39|9|24|7|5|3|3
Hangu|173|286|362|10|4|5|5|19|4|0
Haripur|804|999|14|425|47|60|10|0|1|0
Karak|186|65|138|11|0|5|0|45|38|36
Khyber|37|65|80|14|14|3|16|11|1|0
Kohat|54|3|17|1|1|0|0|0|2|1
Kohistan Lower|42|0|1|7|0|1|5|0|0|0
Kohistan Upper|154|48|1|23|13|8|5|0|0|0
Kolai Palas|39|0|2|5|12|0|19|0|0|0
L & C Kurram|25|174|0|0|0|0|0|0|0|0
Lakki Marwat|415|0|227|82|0|16|12|0|0|10
Malakand|400|46|17|112|23|36|28|7|13|0
Mansehra|429|1017|2|106|120|1|4|0|2|0
Mardan|861|174|15|515|0|0|17|4|1|1
Mohmand|154|102|118|11|34|21|17|99|0|7
Nowshera|1045|0|34|1|31|14|20|7|2|0
Peshawar|2810|1538|135|487|183|153|133|23|29|4
SD DI Khan|0|0|3|0|0|1|0|0|0|0
SD Peshawar|1|75|7|0|0|0|0|0|0|0
SD Tank|1|0|2|0|0|0|1|0|0|0
Shangla|304|51|171|26|36|17|0|0|1|21
SWA|51|467|77|129|39|35|18|31|2|34
Swabi|854|901|30|288|88|26|19|0|13|3
Swat|1713|190|10|60|0|1|5|0|9|14
Tank|379|0|510|12|0|1|3|0|6|0
Tor Ghar|30|0|30|4|28|3|18|2|2|22
Upper Kurram|198|545|2|19|497|16|57|0|14|8
Total|15865|8354|4839|3174|1546|624|581|266|219|207

### 2023 50
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|Typhoid|B. Diarrhea|TB|CL|Measles
Abbottabad|324|58|4|24|23|10|2|22|0|0
Bajaur|168|79|96|2|15|0|34|1|0|2
Bannu|650|26|953|36|23|77|6|38|0|4
Battagram|126|614|0|0|0|0|3|0|0|0
Buner|292|0|280|72|0|5|5|4|0|2
Charsadda|805|509|306|165|141|25|22|0|1|4
Chitral Lower|183|130|7|44|40|19|17|10|2|0
Chitral Upper|89|21|8|25|11|21|5|4|0|0
D.I. Khan|803|0|360|53|45|0|19|15|2|47
Dir Lower|846|0|525|446|3|26|76|20|3|15
Dir Upper|222|499|4|48|20|27|4|18|10|2
Hangu|172|308|355|2|23|15|4|11|35|7
Haripur|767|734|19|226|9|78|7|56|0|3
Karak|136|82|146|12|0|5|0|8|45|40
Khyber|46|125|37|19|0|2|15|11|24|1
Kohat|44|42|13|0|1|0|2|0|0|3
Kohistan Lower|41|0|3|3|0|0|6|0|0|1
Kohistan Upper|189|64|6|19|12|0|10|0|0|7
Kolai Palas|58|0|4|4|18|0|0|1|0|0
L & C Kurram|14|143|0|0|0|2|4|0|0|0
Lakki Marwat|346|0|204|92|0|15|12|2|18|2
Malakand|385|0|20|74|34|19|36|4|14|15
Mansehra|411|889|0|89|74|3|8|8|0|3
Mardan|899|101|43|969|3|0|25|7|3|2
Mohmand|116|109|111|11|20|16|19|0|83|0
Nowshera|1026|415|40|3|21|7|14|2|6|4
Peshawar|2143|1027|63|462|453|86|130|13|20|28
SD DI Khan|0|0|0|0|0|10|0|0|0|0
SD Peshawar|0|0|5|2|0|0|0|0|0|0
SD Tank|1|0|2|0|0|0|0|0|0|0
Shangla|312|0|164|9|58|13|0|24|0|4
SWA|127|71|76|96|92|30|27|0|28|21
Swabi|791|881|18|235|82|16|16|80|0|15
Swat|1339|333|13|83|88|9|6|41|0|13
Tank|271|19|432|13|0|23|5|7|11|0
Tor Ghar|58|8|45|48|29|2|22|0|8|3
Upper Kurram|74|327|12|23|513|45|30|6|0|10
Total|14274|7614|4374|3409|1851|606|591|413|313|258

### 2023 51
Districts|AD (Non-Cholera)|ILI|Malaria|ALRI <5 Years|SARI|Typhoid|B. Diarrhea|TB|CL|Measles
Abbottabad|340|74|2|26|17|8|1|17|0|5
Bajaur|188|29|90|62|30|0|15|1|0|1
Bannu|745|16|1194|19|2|74|11|47|0|18
Battagram|92|465|0|0|10|0|0|0|0|1
Buner|271|3|137|86|0|3|2|1|0|0
Charsadda|649|279|393|102|110|28|12|3|0|7
Chitral Lower|141|155|15|53|75|13|13|7|4|0
Chitral Upper|80|19|4|34|7|16|8|6|0|0
D.I. Khan|682|0|289|84|8|1|13|19|0|42
Dir Lower|767|2|540|244|7|40|57|17|3|13
Dir Upper|144|373|5|17|9|25|6|15|6|3
Hangu|152|145|303|24|23|23|2|12|20|8
Haripur|677|734|12|285|117|58|8|44|1|0
Karak|166|52|109|12|5|10|0|8|39|28
Khyber|59|136|25|62|5|3|31|8|16|3
Kohat|33|13|17|0|1|0|0|0|3|0
Kohistan Lower|59|0|1|4|0|2|13|0|0|3
Kohistan Upper|296|15|2|6|45|14|3|0|1|15
Kolai Palas|52|0|0|7|70|0|2|0|0|0
L & C Kurram|13|23|12|0|0|3|5|0|0|0
Lakki Marwat|284|0|176|70|0|8|8|1|11|3
Malakand|368|2|16|81|10|15|25|4|10|19
Mansehra|441|1014|1|114|75|9|13|7|0|1
Mardan|630|84|19|775|2|0|19|3|1|2
Mohmand|102|114|93|8|37|9|24|0|98|0
NWA|0|0|0|5|0|0|0|1|0|NR
Nowshera|800|440|47|12|20|11|26|4|6|2
Peshawar|1975|1314|24|305|85|56|103|128|17|15
SD DI Khan|14|0|7|0|0|1|0|0|0|0
SD Peshawar|0|0|0|1|0|0|0|0|0|0
SD Tank|1|0|1|0|0|0|1|0|0|0
Shangla|391|30|147|14|29|26|2|70|4|7
SWA|174|82|64|98|74|26|22|0|17|6
Swabi|570|895|14|244|80|8|5|0|0|13
Swat|1416|229|10|54|0|1|11|16|0|6
Tank|353|95|409|7|0|39|2|13|10|5
Tor Ghar|67|0|20|8|17|5|25|0|12|5
Upper Kurram|137|471|5|25|626|19|48|4|0|13
Total|13329|7303|4203|2948|1596|554|536|456|279|244

### 2023 52
Districts|AD (Non-Cholera)|ILI|Malaria|ALRI <5 Years|SARI|Typhoid|B. Diarrhea|CL|Measles
Abbottabad|291|109|1|26|35|9|2|2|0
Bajaur|151|37|50|15|6|1|15|1|0
Bannu|638|2|1112|25|0|61|3|21|0
Battagram|80|440|26|0|2|0|0|1|0
Buner|219|0|133|46|0|3|4|2|0
Charsadda|678|471|187|83|119|49|15|2|0
Chitral Lower|147|143|12|76|62|13|13|2|3
Chitral Upper|68|13|6|26|8|26|4|0|0
D.I. Khan|630|0|220|60|7|0|12|58|0
Dir Lower|733|6|414|296|0|28|66|10|2
Dir Upper|213|397|5|30|13|40|3|3|10
Hangu|157|222|233|8|22|6|5|1|9
Haripur|544|756|10|210|39|44|9|0|0
Karak|186|92|57|13|0|3|0|39|43
Khyber|46|146|16|19|5|3|18|3|20
Kohat|44|32|12|0|0|0|0|0|0
Kohistan Lower|98|0|0|7|0|0|8|0|0
Kohistan Upper|177|25|1|12|48|4|20|3|0
Kolai Palas|96|0|1|17|36|0|5|0|1
L & C Kurram|2|62|0|0|0|1|4|0|0
Lakki Marwat|273|5|142|121|0|8|9|5|7
Malakand|375|12|7|69|5|4|42|15|11
Mansehra|336|571|0|49|100|0|2|0|0
Mardan|542|41|8|318|2|0|16|0|1
Mohmand|98|104|86|22|76|13|16|2|52
NWA|0|NR|5|NR|NR|0|0|NR|5
Nowshera|760|368|5|11|16|12|26|1|3
Peshawar|1913|1184|48|300|161|106|101|37|2
SD DI Khan|10|0|4|0|0|0|0|0|0
SD Peshawar|2|15|0|1|0|0|0|0|0
SD Tank|1|0|2|0|0|1|0|0|0
Shangla|186|0|21|23|18|13|0|2|0
SWA|63|173|69|134|99|57|29|3|9
Swabi|644|935|17|266|97|17|8|14|0
Swat|1144|236|16|77|0|0|27|13|0
Tank|238|5|214|8|0|35|1|5|28
Tor Ghar|37|0|22|5|32|5|9|1|11
Upper Kurram|101|490|2|10|756|15|39|9|0
Total|11921|7092|3163|2383|1764|577|531|255|217

### 2024 1
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Measles|CL
Abbottabad|295|106|3|21|33|2|7|1|0
Bajaur|142|42|60|9|19|16|1|5|0
Bannu|562|13|861|22|12|7|45|41|0
Battagram|91|524|0|0|0|0|0|0|4
Buner|176|0|103|0|0|0|2|0|0
Charsadda|450|546|202|63|84|11|24|8|1
Chitral Lower|179|200|3|35|86|10|11|0|4
Chitral Upper|57|25|1|35|13|7|16|0|0
D.I. Khan|475|0|122|57|6|9|0|83|0
Dir Lower|731|9|455|258|1|60|26|14|1
Dir Upper|181|230|1|37|9|2|4|2|1
Hangu|128|245|223|8|15|3|7|5|29
Haripur|608|754|12|154|46|6|39|0|0
Karak|203|80|50|29|0|0|4|43|52
Khyber|51|82|22|17|0|15|2|1|18
Kohat|61|41|14|2|9|0|0|0|0
Kohistan Lower|94|0|0|14|5|16|0|1|0
Kohistan Upper|192|39|3|23|1|6|35|15|0
Kolai Palas|73|0|0|18|26|3|1|0|0
L & C Kurram|0|0|0|0|0|2|0|0|0
Lakki Marwat|253|0|126|79|0|6|5|5|9
Malakand|398|29|13|67|25|41|19|23|11
Mansehra|327|787|0|128|130|7|1|2|0
Mardan|491|4|22|722|2|27|0|0|0
Mohmand|70|3|39|5|23|12|6|0|57
Nowshera|549|277|12|10|10|18|6|7|5
Orakzai|4|19|0|3|1|0|0|0|0
Peshawar|1465|1124|13|285|143|75|55|49|29
SD DI Khan|6|0|2|0|0|0|0|0|0
SD Peshawar|13|25|2|0|0|0|0|0|0
SD Tank|1|0|1|0|0|1|0|0|0
Shangla|189|0|55|20|0|0|10|0|0
SWA|49|374|55|125|120|38|42|1|10
Swabi|488|785|6|123|106|7|12|11|0
Swat|1256|207|14|60|0|30|0|14|0
Tank|96|4|111|0|0|1|1|0|0
Tor Ghar|51|0|10|0|22|9|1|0|2
Upper Kurram|39|417|2|10|535|12|9|9|0
Total|10494|6991|2618|2439|1482|459|391|340|233

### 2024 2
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Measles|TB|CL
Abbottabad|281|117|1|17|30|4|4|0|24|0
Bajaur|89|31|31|20|15|14|3|4|1|0
Bannu|407|0|659|25|5|6|46|2|26|0
Battagram|78|391|7|0|0|0|0|1|0|2
Buner|140|1|121|71|0|2|1|0|3|0
Charsadda|479|687|196|216|98|19|22|4|0|1
Chitral Lower|164|93|5|22|77|13|8|1|6|7
Chitral Upper|49|17|1|26|9|2|13|0|6|0
D.I. Khan|473|0|130|41|34|10|0|63|18|0
Dir Lower|655|4|462|266|1|62|21|20|17|2
Dir Upper|206|213|2|16|11|1|19|5|19|0
Hangu|83|175|181|5|56|3|3|11|8|13
Haripur|646|691|1|156|56|5|24|4|25|0
Karak|201|93|43|26|0|0|8|49|11|45
Khyber|66|160|7|21|5|14|3|4|3|11
Kohat|69|46|23|0|8|0|0|0|0|0
Kohistan Lower|59|0|0|4|0|2|0|5|0|0
Kohistan Upper|174|55|0|9|0|8|0|8|0|0
Kolai Palas|65|0|0|8|29|0|1|0|0|0
L & C Kurram|2|86|0|0|0|4|0|0|0|0
Lakki Marwat|214|3|97|88|0|9|9|9|1|2
Malakand|395|18|10|63|32|53|21|21|1|15
Mansehra|255|467|0|39|50|9|20|5|7|0
Mardan|511|96|16|357|2|21|0|7|13|0
Mohmand|89|87|46|12|27|13|13|0|0|54
Nowshera|492|250|48|26|21|11|8|18|20|23
Orakzai|1|9|2|5|0|1|0|0|0|0
Peshawar|1504|978|16|245|136|92|36|43|3|24
SD DI Khan|6|0|1|0|0|0|0|0|0|0
SD Peshawar|0|32|3|0|0|0|0|0|0|0
SD Tank|1|0|1|0|0|0|1|0|0|0
Shangla|191|0|38|13|0|0|15|2|28|0
SWA|31|334|63|94|61|16|45|3|0|5
Swabi|455|844|9|176|31|5|7|23|28|0
Swat|1135|383|11|95|0|50|0|21|24|0
Tank|359|108|84|28|0|1|76|5|4|6
Tor Ghar|57|0|29|20|15|9|11|0|0|8
Upper Kurram|65|364|0|19|614|17|6|10|2|0
Total|10147|6833|2344|2229|1423|476|444|348|298|218

### 2024 3
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Measles|TB|CL
Abbottabad|301|115|2|21|23|2|5|5|18|0
Bajaur|114|15|25|43|55|8|0|0|0|1
Bannu|580|4|1070|32|12|18|53|24|23|1
Battagram|55|134|0|0|2|0|0|0|0|0
Buner|221|0|97|71|0|1|0|0|1|0
Charsadda|658|1096|229|235|122|19|25|10|0|0
Chitral Lower|139|104|4|54|47|11|11|1|10|5
Chitral Upper|71|20|3|11|9|5|18|0|3|0
D.I. Khan|463|0|115|84|35|15|0|68|20|0
Dir Lower|680|4|354|295|2|61|18|21|16|3
Dir Upper|216|226|4|26|5|4|34|10|30|5
Hangu|109|277|226|8|50|6|0|18|8|8
Haripur|675|543|7|179|44|9|19|3|20|0
Karak|161|91|43|19|0|0|5|55|3|38
Khyber|61|161|10|11|0|17|0|9|8|14
Kohat|92|39|23|1|1|0|0|0|0|0
Kohistan Lower|31|0|1|5|0|6|0|3|0|0
Kohistan Upper|151|60|0|3|30|4|0|2|0|0
Kolai Palas|68|0|0|4|18|2|0|0|0|1
L & C Kurram|0|111|0|0|0|4|0|0|0|0
Lakki Marwat|200|1|95|98|2|3|8|3|3|7
Malakand|394|26|17|75|25|62|16|18|3|10
Mansehra|316|463|1|64|85|6|2|2|8|0
Mardan|594|27|17|702|4|16|0|2|10|0
Mohmand|107|96|75|13|31|11|7|1|3|49
Nowshera|621|320|69|20|22|16|2|20|5|32
Orakzai|13|16|16|11|0|2|0|0|0|0
Peshawar|1537|685|21|207|173|84|49|53|20|23
SD DI Khan|0|0|3|0|0|0|0|0|0|0
SD Peshawar|3|25|2|1|0|3|0|0|0|0
SD Tank|1|0|1|0|0|0|0|0|0|0
Shangla|141|0|117|23|0|0|20|2|42|6
SWA|43|365|48|83|49|12|29|1|0|8
Swabi|535|691|15|228|170|10|17|10|52|0
Swat|1265|200|10|44|0|18|0|10|3|0
Tank|224|240|102|19|0|1|111|9|4|18
Tor Ghar|57|0|12|1|0|17|1|0|0|4
Upper Kurram|63|318|2|15|768|12|4|7|2|0
Total|10960|6473|2836|2706|1784|465|454|367|315|233

### 2024 4
Districts|AD (NonCholera)|ILI|ALRI <5 Years|Malaria|SARI|Typhoid|Measles|TB|B. Diarrhea|CL
Abbottabad|344|101|23|0|21|4|0|15|3|0
Bajaur|363|40|312|103|15|7|7|17|14|15
Bannu|632|0|47|1082|3|71|31|25|5|1
Battagram|75|258|0|3|1|0|0|0|0|23
Buner|240|0|69|143|0|2|0|0|0|0
Charsadda|654|1417|408|167|129|27|15|0|22|1
Chitral Lower|107|83|14|2|55|7|1|12|5|10
Chitral Upper|71|18|15|3|10|19|0|6|4|1
D.I. Khan|491|0|75|110|35|0|67|28|14|0
Dir Lower|603|7|251|377|0|22|23|24|30|3
Dir Upper|212|169|16|5|4|21|8|50|1|12
Hangu|152|311|0|215|13|5|6|3|15|18
Haripur|573|452|102|91|44|32|5|30|7|0
Karak|196|66|39|45|0|8|78|5|0|33
Khyber|45|85|41|10|0|7|1|5|18|16
Kohat|51|28|2|10|7|1|0|0|0|0
Kohistan Lower|74|0|5|2|0|0|1|0|7|0
Kohistan Upper|112|65|16|0|33|17|38|0|7|0
Kolai Palas|54|0|8|0|33|0|0|0|6|1
L & C Kurram|3|91|0|3|0|1|0|0|6|0
Lakki Marwat|226|44|97|93|0|8|5|7|2|3
Malakand|357|15|96|13|31|29|21|2|39|13
Mansehra|356|644|48|1|118|4|2|15|9|0
Mardan|477|45|684|21|3|0|0|7|16|0
Mohmand|88|33|17|132|65|6|2|1|19|69
Nowshera|571|293|5|65|27|1|18|10|11|29
Orakzai|10|16|5|3|0|0|0|0|2|0
Peshawar|1325|791|192|18|191|29|55|20|69|26
SD DI Khan|0|0|0|2|0|0|0|0|0|0
SD Peshawar|0|35|0|1|0|0|0|0|5|0
SD Tank|1|0|0|1|0|1|0|0|0|0
Shangla|335|0|10|80|0|31|6|56|2|3
SWA|44|436|93|21|68|30|1|1|12|6
Swabi|525|871|188|8|140|13|15|66|4|0
Swat|1218|207|104|14|0|1|5|7|13|0
Tank|293|168|7|68|0|65|12|1|4|13
Tor Ghar|52|0|0|9|22|2|0|0|18|6
Upper Kurram|43|376|10|0|663|2|6|1|18|0
Total|10973|7165|2999|2921|1731|473|429|414|407|302

### 2024 5
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Measles|Typhoid|TB|CL
Abbottabad|267|83|3|15|12|1|0|5|24|0
Bajaur|36|25|14|7|10|5|0|0|0|0
Bannu|636|10|969|12|3|6|43|54|32|0
Battagram|56|174|0|0|0|0|0|0|0|1
Buner|139|0|107|0|0|0|0|6|0|0
Charsadda|648|870|255|274|110|24|2|16|3|1
Chitral Lower|100|86|9|53|30|6|0|8|4|5
Chitral Upper|60|7|0|19|3|3|0|8|2|0
D.I. Khan|543|0|130|65|38|8|69|0|38|1
Dir Lower|514|8|389|249|0|47|32|25|23|1
Dir Upper|163|127|3|2|3|1|3|25|21|0
Hangu|87|238|199|2|13|9|0|0|1|5
Haripur|659|358|6|197|33|10|0|32|17|0
Karak|149|108|35|40|0|0|37|9|10|27
Khyber|28|96|14|16|0|19|3|5|11|4
Kohat|41|52|8|1|4|0|0|0|0|0
Kohistan Lower|92|0|0|4|0|7|4|0|0|0
Kohistan Upper|142|35|0|15|0|7|66|2|0|0
Kolai Palas|54|0|0|7|15|2|1|0|0|0
L & C Kurram|14|94|0|0|0|3|0|1|0|0
Lakki Marwat|212|42|67|100|0|2|6|7|5|3
Malakand|304|120|15|48|28|37|28|1|3|15
Mansehra|158|372|0|57|57|1|2|0|4|0
Mardan|292|42|8|594|3|10|0|0|10|0
Mohmand|74|33|80|14|25|16|0|6|1|48
Nowshera|685|106|40|2|21|15|14|1|4|19
Orakzai|7|19|6|1|0|1|0|0|3|0
Peshawar|1540|623|23|97|116|102|26|38|27|18
SD DI Khan|0|0|5|0|0|0|0|0|0|0
SD Peshawar|0|0|0|0|0|0|0|0|0|0
SD Tank|1|0|1|0|0|1|0|1|0|0
Shangla|97|0|46|17|7|2|0|5|4|0
SWA|45|293|22|71|62|5|2|18|0|9
Swabi|582|798|8|161|74|10|12|14|45|0
Swat|944|207|3|45|2|9|5|4|4|0
Tank|220|167|73|16|0|0|2|38|4|17
Tor Ghar|31|0|7|3|33|15|0|6|1|3
Upper Kurram|183|429|0|11|227|30|11|1|2|0
Total|9803|5622|2545|2217|929|414|373|336|303|177

### 2024 6
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Measles|TB|CL
Abbottabad|293|106|1|15|17|2|4|5|23|0
Bajaur|84|36|41|10|35|12|1|3|0|2
Bannu|486|0|881|18|3|8|53|15|19|4
Battagram|70|132|4|7|0|0|0|0|0|0
Buner|188|0|113|87|0|1|4|0|0|0
Charsadda|513|703|230|328|164|23|18|34|2|0
Chitral Lower|109|65|2|46|40|10|7|0|8|4
Chitral Upper|48|8|0|24|6|7|6|0|3|1
D.I. Khan|494|0|73|81|33|13|0|37|36|1
Dir Lower|450|2|353|175|0|104|23|29|14|2
Dir Upper|148|148|2|7|7|0|28|1|14|6
Hangu|108|354|316|11|22|5|1|10|7|8
Haripur|553|351|4|164|2|6|17|2|21|0
Karak|208|59|54|41|0|0|7|49|7|35
Khyber|39|21|42|25|80|10|6|0|0|3
Kohat|47|29|7|2|4|0|1|1|0|2
Kohistan Lower|76|0|0|3|0|12|0|1|0|0
Kohistan Upper|146|12|0|26|0|1|12|19|0|0
Kolai Palas|35|0|0|6|50|2|0|0|0|0
L & C Kurram|0|44|0|0|0|3|0|0|0|0
Lakki Marwat|182|24|68|72|0|7|9|4|2|4
Malakand|295|123|14|57|31|35|15|24|4|11
Mansehra|304|466|1|31|148|6|1|2|4|0
Mardan|501|5|15|735|2|13|0|4|12|0
Mohmand|60|35|76|15|15|10|8|2|0|24
Nowshera|587|50|7|5|11|11|5|18|4|13
Orakzai|1|12|0|0|1|0|0|0|0|0
Peshawar|1372|620|8|192|83|91|69|48|35|14
SD DI Khan|0|0|0|0|0|0|0|0|0|0
SD Peshawar|1|0|0|1|0|0|0|0|0|0
Shangla|135|0|82|20|0|0|14|4|21|3
SWA|25|246|8|49|51|3|10|1|0|12
Swabi|506|638|11|116|118|2|13|14|47|0
Swat|748|198|1|81|7|4|0|0|17|0
Tank|295|222|52|5|0|1|8|5|8|9
Tor Ghar|43|0|8|0|26|18|5|0|2|2
Upper Kurram|161|323|0|14|317|31|5|6|2|0
Total|9311|5032|2474|2469|1273|451|350|338|312|160

### 2024 7
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Measles|TB|CL
Abbottabad|340|78|0|19|18|1|6|3|34|0
Bajaur|145|33|44|5|15|11|1|1|0|0
Bannu|642|7|1143|27|29|11|70|16|24|1
Battagram|51|322|9|0|0|2|0|2|1|3
Buner|218|0|128|92|25|8|2|0|1|0
Charsadda|582|760|302|250|70|20|38|17|0|1
Chitral Lower|114|99|2|88|74|7|15|4|7|9
Chitral Upper|46|9|1|28|6|3|9|0|2|0
D.I. Khan|678|0|120|33|6|16|0|89|33|12
Dir Lower|777|8|405|254|0|81|28|39|20|1
Dir Upper|141|144|1|5|0|0|30|3|32|4
Hangu|137|378|315|21|67|3|6|9|8|10
Haripur|797|449|4|121|11|11|66|2|37|0
Karak|252|22|62|20|0|0|8|55|8|54
Khyber|49|0|10|14|79|10|1|6|4|12
Kohat|39|37|6|4|5|0|0|2|0|0
Kohistan Lower|89|0|2|5|0|5|0|0|0|0
Kohistan Upper|127|0|0|2|0|5|1|19|0|0
Kolai Palas|60|0|0|3|4|0|0|0|0|0
L & C Kurram|0|112|10|0|0|5|0|0|0|0
Lakki Marwat|276|17|102|66|3|9|8|13|5|2
Malakand|337|123|12|59|36|45|9|18|2|18
Mansehra|403|498|0|68|90|7|0|4|18|0
Mardan|640|56|18|700|2|16|0|1|8|0
Mohmand|62|59|87|18|19|14|10|2|0|72
Nowshera|761|67|12|4|23|15|6|23|8|9
Orakzai|6|21|3|0|0|0|0|0|0|0
Peshawar|1814|747|15|197|83|106|64|66|27|36
SD DI Khan|0|0|3|0|0|0|0|0|0|0
SD Peshawar|2|0|0|0|0|0|0|0|0|0
Shangla|158|0|140|18|0|1|13|4|36|0
SWA|35|232|32|32|52|7|6|1|0|10
Swabi|742|1082|17|229|107|11|27|16|75|0
Swat|1320|362|9|86|2|23|2|1|17|0
Tank|209|82|73|8|0|0|17|19|7|3
Tor Ghar|56|0|5|4|8|9|5|0|0|4
Upper Kurram|167|358|0|20|371|40|8|8|3|0
Total|12273|6162|3093|2500|1205|502|457|443|417|261

### 2024 9
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|Measles|Typhoid|B. Diarrhea|TB|CL
Abbottabad|321|98|0|17|20|5|5|2|9|0
Bajaur|83|46|27|5|55|9|1|7|0|1
Bannu|614|50|839|51|10|14|96|10|30|0
Battagram|49|168|5|0|0|1|0|0|0|2
Buner|287|0|118|58|0|0|3|0|1|0
Charsadda|479|918|264|101|35|28|25|18|0|0
Chitral Lower|83|38|2|30|34|0|6|7|4|6
Chitral Upper|40|3|0|2|7|1|9|1|0|0
D.I. Khan|589|0|66|22|32|65|8|12|35|0
Dir Lower|561|4|316|300|0|23|43|71|18|2
Dir Upper|187|127|2|18|0|8|20|1|14|4
Hangu|152|283|320|5|0|15|5|14|10|13
Haripur|715|388|4|82|22|4|35|61|33|0
Karak|194|60|73|31|0|83|12|0|12|47
Khyber|64|0|15|52|64|2|2|9|6|4
Kohat|54|74|23|1|8|2|0|1|0|0
Kohistan Lower|93|0|0|4|2|3|0|3|0|0
Kohistan Upper|180|1|0|13|1|9|6|5|0|0
Kolai Palas|42|3|0|5|5|0|0|3|0|0
L & C Kurram|0|36|0|0|0|0|0|2|0|0
Lakki Marwat|235|20|70|48|1|9|6|7|28|1
Malakand|165|177|6|16|8|20|2|21|2|23
Mansehra|339|477|0|62|76|2|8|6|12|0
Mardan|356|2|9|444|0|0|0|12|4|0
Mohmand|51|49|57|1|8|2|2|8|1|73
Nowshera|770|151|63|2|14|33|5|8|2|17
Orakzai|13|4|3|1|0|0|0|3|0|0
Peshawar|1785|724|14|97|123|45|65|66|28|21
SD DI Khan|0|0|2|0|0|0|0|0|0|0
SD Peshawar|0|0|0|0|0|0|0|0|0|0
SD Tank|0|0|0|0|0|0|0|1|0|0
Shangla|131|0|93|14|0|0|8|0|18|0
SWA|24|179|13|29|43|0|7|7|0|11
Swabi|570|965|18|184|112|17|9|4|43|0
